Summary of Overall Results
,,,,Number of Names on Party List,,,,Number Nominated
,,,,449,,,,453
,,Party List,,,,Electorate Candidates
Parties(Grouped),Seats Allocated,Votes,Percentage,,Seats Won,Votes,Percentage
Registered Parties with List
ACT New Zealand,0,13075,0.50,39,1,25471,1.01,41
Aotearoa Legalise Cannabis Party,0,8075,0.31,14,0,4144,0.16,6
Ban1080,0,3005,0.12,9,0,3003,0.12,3
Conservative,0,6253,0.24,12,0,6115,0.24,27
Democrats for Social Credit,0,806,0.03,26,0,1794,0.07,13
Green Party,8,162443,6.27,59,0,174725,6.91,66
Internet Party,0,499,0.02,8,0,0,0.00,0
Labour Party,17,956184,36.89,75,29,958155,37.88,71
MANA,0,3642,0.14,4,0,8196,0.32,2
Māori Party,0,30580,1.18,26,0,53247,2.11,24
National Party,15,1152075,44.45,75,41,1114367,44.05,64
New Zealand First Party,9,186706,7.20,56,0,137816,5.45,57
New Zealand People's Party,0,1890,0.07,6,0,0,0.00,0
NZ Outdoors Party,0,1620,0.06,4,0,1357,0.05,4
The Opportunities Party (TOP),0,63261,2.44,26,0,26034,1.03,21
United Future,0,1782,0.07,10,0,1285,0.05,8
"Registered Parties, no List"
Unregistered Parties
Climate First,0,0,0.00,0,0,55,0.00,1
Communist League,0,0,0.00,0,0,109,0.00,2
Future Youth Party,0,0,0.00,0,0,82,0.00,1
GOdsownNZ,0,0,0.00,0,0,72,0.00,1
Human Rights Party,0,0,0.00,0,0,28,0.00,1
Money Free Party,0,0,0.00,0,0,293,0.01,4
NAP,0,0,0.00,0,0,162,0.01,3
NZ Economic Euthenics Party,0,0,0.00,0,0,41,0.00,1
Republic of New Zealand Party,0,0,0.00,0,0,65,0.00,1
The Logic Party,0,0,0.00,0,0,166,0.01,1
Independent,0,0,0.00,0,0,12749,0.50,30
,,49,,,,71
,,,2591896,,,,2529531
,,,10793,,,,30554
State of the Parties
ACT New Zealand,,0,1,1
Green Party,,8,0,8
Labour Party,,17,29,46
National Party,,15,41,56
New Zealand First Party,,9,0,9
,Seats,49,71,120
