Summary of Overall Results
,,,,Number of Names on Party List,,,,Number Nominated
,,,,548,,,,601
,,Party List,,,,Electorate Candidates
Parties(Grouped),Seats Allocated,Votes,Percentage,,Seats Won,Votes,Percentage
Registered Parties with List
ACT New Zealand,9,219031,7.59,57,1,97697,3.46,57
Advance NZ,0,28429,0.98,62,0,25054,0.89,54
Aotearoa Legalise Cannabis Party,0,13329,0.46,12,0,8044,0.28,9
Green Party,9,226757,7.86,44,1,162245,5.74,60
HeartlandNZ,0,914,0.03,5,0,8462,0.30,1
Labour Party,19,1443545,50.01,81,46,1357501,48.07,72
Māori Party,1,33630,1.17,21,1,60837,2.15,7
National Party,10,738275,25.58,75,23,963845,34.13,65
New Conservative,0,42613,1.48,24,0,49598,1.76,72
New Zealand First Party,0,75020,2.60,28,0,30209,1.07,27
NZ Outdoors Party,0,3256,0.11,28,0,7982,0.28,26
ONE Party,0,8121,0.28,39,0,6830,0.24,29
Social Credit,0,1520,0.05,23,0,2699,0.10,19
Sustainable New Zealand Party,0,1880,0.07,11,0,2421,0.09,10
TEA Party,0,2414,0.08,12,0,2764,0.10,9
The Opportunities Party (TOP),0,43449,1.51,21,0,25181,0.89,21
Vision New Zealand,0,4237,0.15,5,0,2139,0.08,5
Unregistered Parties
Attica,0,0,0.00,0,0,305,0.01,2
Climate First,0,0,0.00,0,0,151,0.01,1
Communist League,0,0,0.00,0,0,109,0.00,2
Future Youth Party,0,0,0.00,0,0,50,0.00,1
Harmony,0,0,0.00,0,0,28,0.00,1
Human Rights Party,0,0,0.00,0,0,87,0.00,1
Integrity New Zealand,0,0,0.00,0,0,522,0.02,2
Money Free Party,0,0,0.00,0,0,83,0.00,2
NAP,0,0,0.00,0,0,245,0.01,5
NZ Economic Euthenics Party,0,0,0.00,0,0,75,0.00,1
NZ Public Party,0,0,0.00,0,0,1349,0.05,1
Progressive Aotearoa New Zealand,0,0,0.00,0,0,170,0.01,2
Republic of New Zealand Party,0,0,0.00,0,0,28,0.00,1
Trump New Zealand Party,0,0,0.00,0,0,57,0.00,1
Voice of the People,0,0,0.00,0,0,132,0.00,2
Independent,0,0,0.00,0,0,7299,0.26,33
,,48,,,,72
,,,2886420,,,,2824198
,,,21372,,,,57138
State of the Parties
ACT New Zealand,,9,1,10
Green Party,,9,1,10
Labour Party,,19,46,65
Māori Party,,1,1,2
National Party,,10,23,33
,Seats,48,72,120
